yorum;;;;;;;;;
15 gün oldu alalý  güzel telefon yani kullanýþlý .kargoda biraz gecikme oluyor oda kargo þirketinin bý türlü çüzemediði sorun.akliniza takýlan ne varsa sorabilirs;inizyoru;m;;;;;;;
ürün kaliteli.Sipariþimin 3.gününde elime geçti.Gayet kullanýþlýdýr.yorum;;;;;;;;;
Bu paraya bu ürün bir haftadýr kullanýyorum çok memnun kaldým hýzlý kullanýþlý zaten özellikleri belli araþtýrmadan kimse almýyor rengi de güzelyorum;;;;;;;;;
Gerek kargo süresi gerekse ürün gayet iyiyorum;;;;;;;;;
þimdilik bir sýkýntýsý yok ilerisi için de devam eder inþallah.yorum;;;;;;;;;
Güzel hýzlý estetik özellikle kamerayorum;;;;;;;;;
mükemmel cihaz teþekkürleryorum;;;;;;;;;
Ürün çok estetik.ince ve büyük.fiyatýna göre kullanýþlýyorum;;;;;;;;;
cok guzel binurunyorum;;;;;;;;;
Ýki günde elime ulaþan telefon gayet baþarýlý ekran kasa oraný çok iyi þarjý yaklaþýk iki gün gidiyor hýzlý eve akýcý hiç donma kasma yapmýyor ( bir sene sonra ne;olur bi;lemem;);alýnab;il;ec;ek;bir;telefon  tek eksi yaný ise biraz kalýn olmasý eski telefonum iPhone 7 idi ondan olabiliryorum
Ürün gerçekten bu fiyata bu kalite çok iyi. Teslimat biraz geç oldu.yorum;;;;;;;;;
ürün fiyatýna göre çok iyi. fiyatý da gayet uygun. iyi paketlenmiþ olarak geldi. sadece 16 günde geldi yoðunluk varmýþ . yoksa ürün çok güzel.yorum;;;;;;;;;
Ürünü hediye aldým vede memnun olduklarý kullanýþlý olduðunu öðrendim teþekkürler xiaomi teþekkürler hýzlý kargo için trendyol.yorum;;;;;;;;;
tek kelimeyle mükemmel telefon þiddetle tavsiye ediyorum!yorum;;;;;;;;;
Ürün anlatýldýðý gibiydi özenle kargolanmýþ 2 gün içerisinde teslim edildiyorum;;;;;;;;;
harika bir telefon ayrýca satýcý firma çok hýzlý ve özenli bir þekilde kargoyu gönderdiði için ayrýca teþekkür ederimyorum;;;;;;;;;
firma güvenilir telefonumu sorunsuz teslim aldým telefonlara bakýyorlar teþekkür ederimyorum;;;;;;;;;
Ürün gayet güzel paketlenmiþti  hýzlý geldi yanýnda hediye olarak gelen kýlýf için çok teþekkür ederim ??yorum;;;;;;;;;
Sipariþim bugün teslim edildi Ürün hem çok kaliteli hem hesaplý çok teþekkürler sadece içinde kulaklýk bulunmuyor sanýrým kutudan çýkmadý onun haricinde bayýldýk;inþallah;iler;ley;en zam;an;da;s;orun;yaþamayýzyorum
tam bý fiyat performans cihazý. 1 puaný geç kargodan dolayý kýrýyorum.yorum;;;;;;;;;
Gayet memnunum teþekkürler bütün çalýþanlara ve Trendyol a çalýþanlarýna müþteri hizmetleri de ayrý saygýlý ve memnuniyet için elinden geleni yapmaya yardýmcý olm;aya çalý;þýyor;lar;kolay;g;el;si;nyor;um
Guzel ürün hýzlý kargo teþekkürleryorum;;;;;;;;;
Ürünü cok arastýrdým ve inceledim sonrasýnda kullanýcý yorumlarýnýda okuyarak telefonu almaya karar verdin ozellik ve fiyat olarak alýncak 10 numara telefon aldým;bakalým;inþa;lla;h memn;un;k;al;ýrýz;insa cabucak gelir ??yorum
Fiyat performans ürünü gayet akýcý ????yorum;;;;;;;;;
"""Markaya para verenler ötede dursun, teknolojiden anlayanlarý bu tarafa alalým. Tam anlamýyla on numara beþ yýldýz bir telefon.""yorum";;;;;;;;;
Ürünü telefon dünyasýndan aldým paketleme gayet iyiydi 2 günde geldi. Kurulumdan sonra miuý 11 güncellemesini yükledim herhangi bir problem yok teþekkürler..yorum;;;;;;;;;
Fiyatýna göre çok çok iyi indirim ile 1300 e babama almýþtým kesinlikle tavsiye ederimyorum;;;;;;;;;
Tek kelimeyle mükemmel.yorum;;;;;;;;;
Teþekkürler telefon dünyasý teþekkürler trendyol tek kelimeyle mükemmel;;;;;;;;;
satýcý firmaya nasýl ulaþabilirim? Ekran kýrýldý ve piyasada telefona uyumlu ekran bulamýyorumyorum;;;;;;;;;
fiyat performans telefonuyorum;;;;;;;;;
kalitesi mükemmel þarjý uzun gidiyor kamerasý harikayorum;;;;;;;;;
yorum;;;;;;;;;
urun harika fiyatina gore superyorum;;;;;;;;;
süper bir þeyyorum;;;;;;;;;
Tam bir fiyat performans canavarý.yorum;;;;;;;;;
Güzel ürünyorum;;;;;;;;;
babama hediye almistim. Cok guzel bir telefonyorum;;;;;;;;;
fiyat Performans ürünüyorum;;;;;;;;;
"""güzel bir telefon, kamerasý beklediðimden daha iyi, saðlam bir þekilde elime ulaþtý teþekkürler""yorum";;;;;;;;;
ürün fiyata göre en iyi kalite de telefon ürünün kargolamasý falan iyiydiyorum;;;;;;;;;
Fiyatýna göre süperyorum;;;;;;;;;
Tam bir fiyat performans ürünü. artýlarýný yazmam gerek yok. eksileri. ön kamerasýnda flaþ ve zoom özelliði yok. bu fiyata alabileceðiniz en iyi telefon.yorum;;;;;;;;;
özelliklerine göre fiyatý gayet uygunyorum;;;;;;;;;
"""ürünün hem fiyatý uygun hem de kaliteli, üstelik garanti olarak GENPA teknik servis ilgileniyor çok güzel""yorum";;;;;;;;;
teþekkürler herþey için. fiyat performans telefonu diye buna denir??yorum;;;;;;;;;
Güzel telefon çabuk kargoyorum;;;;;;;;;
bu fiyata alinabilinecek en güzel telefon sanýrýmyorum;;;;;;;;;
"""Ambalaj güzel, urun beklentilerimizi karþýladý.""yorum";;;;;;;;;
"""Harika bir telefon,eþime hediye aldým çok beðendi, saðolun""yorum";;;;;;;;;
fena deðilyorum;;;;;;;;;
ürünün fiyatý ve kalitesi çok güzel tavsiye ediyorumyorum;;;;;;;;;
Ürün çok kaliteli ??yorum;;;;;;;;;
yorum;;;;;;;;;
Telefonu aldým ilk gün android güncellemesi yaptým telefon bir daha açýlmadý. NF biliþimi aradým yolladým telefonu yenisini gönderdiler hemen saðolsunlar. Xiaomi;yazýlým;hatas;ý y;üzünde;n;ol;uy;or h;er Xiaomi telefonunda olabilir.yorum
Beklentileri karþýlayan bir telefon. Yüksek kullaným süresi ve gayet güzel olan ekran çözünürlüðü dýþýnda fazla bir artýsý yok. Düþük bütçe ile sahip olunabilecek;bir cih;az.yo;rum;;;;;;
ürün tüm ihtiyaçlarý fazlasýyla karþýlýyoryorum;;;;;;;;;
Ýyi paketlenmiþ teþekkür;;;;;;;;;
Fiyat performansyorum;;;;;;;;;
gayet güzel kargo hýzlýydýyorum;;;;;;;;;
Güzel ve kullanýþlýyorum;;;;;;;;;
Ürün çok güzel fakat kulaklýðýnýn olmamasý büyük eksiklikyorum;;;;;;;;;
teþekkürler telefon süperyorum;;;;;;;;;
süper bayýldým herzaman ???yorum;;;;;;;;;
anneme aldýk ve gayet iyi gözüküyoyorum;;;;;;;;;
Þimdilik güzel gibi Bi sorun yokyorum;;;;;;;;;
Ürün güzel kamerasý çok iyi deðil ama anne baba ya çok uygun bir telefonyorum;;;;;;;;;
babama aldýðým bir ürün.öyle  kullanjmj karmaþýk deðil.babam çok beðendiyorum;;;;;;;;;
ürünün icinde kulaklýðý yoktuyorum;;;;;;;;;
güzel anne ve babanýn kullanabileceðin gibi bir telefonyorum;;;;;;;;;
fiyat uygun ama çok yavaþ bir cihaz.yorum;;;;;;;;;
Fiyat/performans olarak çok baþarýlý????yorum;;;;;;;;;
fiyatýnýn malýyorum;;;;;;;;;
En uygun trendyolda bulabildim teþekkürleryorum;;;;;;;;;
Sýkýntýsýz kullaniyoruzyorum;;;;;;;;;
ürün fiyatýna göre iyi özelliklere sahip.yorum;;;;;;;;;
"Bu telefonlar günlük kullaným telefonlarý. Alýp neden pubg oynanmýyor demeyin. 1 gb ram var anca lite pubg oynarsýnýz. Bilinçli tüketici olalým üzülmeyiz ;)yorum";;;;;;;;;
Güzel ürünyorum;;;;;;;;;
fiyatý uygun fakat çok kasýyoryorum;;;;;;;;;
Telefon bugün elime geçti.Babam için aldýk.Hem telefon hem de paketlenmesi harika baþarýlarýnýzýn devamýný bekliyoruz. yorum;;;;;;;;;
Gerçekten bu fiyata çok çok güzel bir telefon bayýldým ayrýca çok özenli bir þekilde gönderilmiþti teþekkürler trendyol ????yorum;;;;;;;;;
ürün zamanýnda elime ulaþtý  telefondan çok memnunum çok tskyorum;;;;;;;;;
Tereddut etmeden alabilirsiniz en uygun fiyatiyla Trendyoldayorum;;;;;;;;;
Çok güzel çok beðendim ??yorum;;;;;;;;;
"""Telefonu babam için aldým. Çok sevdi. Android Go versiyonu belli bir yaþ üzeri için çok iyi. Þarjý uzun gidiyor. Çift hatlý olmasý da iþe yarýyor. Ambalaj, kargo";vs gaye;t iyi;ydi;. Bu a;ra;da;t;elef;"on gayet þýk duruyor.""yorum"
Düþündüðüm gibi ve özenli bir þekilde gönderilmiþ teþekkürleryorum;;;;;;;;;
Kendi sýnýfýnýn en þýk ve en iyi modellerinden bi tanesi. Standart kullaným için daha iyi bi telfon bulamazsýnýz.;;;;;;;;;
zamaninda ve çok guzel ablajla geldiyorum;;;;;;;;;
orjinal 0 kutusunda alýnan telefonun içinden nasýl kulaklýk çýkmaz ki ?yorum;;;;;;;;;
Gayet iyi herhangi bir sýkýntý veya bozuk darbe almýþ bir þekilde gelmedi kargoda hýzliydiyorum;;;;;;;;;
Ürün güzel þimdilik bi sorun yok kargo cok hizli camerasi  güzel begendm fiyatta uygun biz memnun kaldik tavsiye edermyorum;;;;;;;;;
Gerçekten çok güzelyorum;;;;;;;;;
"""2 gün oldu alalý, þu an bir sorun gözükmüyor.""yorum";;;;;;;;;
Bu paraya çok iyi beklentimin üstünde performansýyorum;;;;;;;;;
bu ürün bu fiyata isteklerin üzerinde kaliteli ayný zamanda kilifida içindeyorum;;;;;;;;;
ürün tam bý fiyat performans ürünü güzel akýcý kargo çok hýzlý teþekkürler KVK garantili olarak geldiyorum;;;;;;;;;
Ürün Sýfýr açýlmamýþ kapalý kutu geldi KVK Garantisi ile.  memnun kaldým Bursa ya hýzlý teslim edildi.. Birazdan 2.ci ürün sipariþi vereceðim. Teþekkürler.yorum;;;;;;;;;
fiyatýna göre güzelyorum;;;;;;;;;
Çok teþekkür ederim fiyatýna göre gayet iyi. Resim kaliteli. Kolay kullanýmlý düþünmeden alýn derim.yorum;;;;;;;;;
Fiyat performans bakýmýndan baya iyi...yorum;;;;;;;;;
Anlatýldýgý gýbýydýyorum;;;;;;;;;
urun cok guzel sorunsuz ulasti tavsiye ederimyorum;;;;;;;;;
cok memnunumyorum;;;;;;;;;
Fiyatýnýn üstünde bir performansyorum;;;;;;;;;
gerçekten çok güzel parasini hak ediyor..yorum;;;;;;;;;
Ürünün hem fiyat olarak uygun hemde kalite performans olarak gayet iyiyorum;;;;;;;;;
Fiyatýna göre çok kullanýþlý ve güzelyorum;;;;;;;;;
Ürün çok güzel paketleme herþey harika geldi ama cihazla birlikte kulaklýk gönderilmemiþ. Normalde cihazýn yanýnda kulaklýk verilir.yorum;;;;;;;;;
Telefon çok güzel ??yorum;;;;;;;;;
hýzlý kargo güzel cihaz þimdilik bý sorun gozukmuyo þarjý hýzý çok güzel bu fiyata alýnacak en iyi telefon kargo paketi ozenliydi teþekkür leryorum;;;;;;;;;
cok iyi paketlenmis hizli kargo kalite ve memnuniyetyorum;;;;;;;;;
"""ürün orijinal faturalý ,ambalajini ilk kez ben açtým KVK garantili .Telefona gelecek olursak Samsung çöpüne artýk tek kuruþ vermem xioami yeterince baþarýlý""yoru";m;;;;;;;;
ürün özellikleri ile gayet güzel çalýþýyor.tavsiye ederimyorum;;;;;;;;;
fevkalade güzel bir ürün tavsiye ederim.Trendyolun da hakkýný verelim zira ürünü 2 gün içinde teslim aldým.yorum;;;;;;;;;
Fiyat performans ürünü hýzlý ve güvenli kargo için teþekkürleryorum;;;;;;;;;
Güzel bir telefon;;;;;;;;;
çok memnun kaldým teþekkürleryorum;;;;;;;;;
Oðluma aldým çok güzel beyendýyorum;;;;;;;;;
Çocuklarýma 2 tane aldým performansý gayet güzel kamera süperyorum;;;;;;;;;
þarjý çok iyi nerdeyse iki gün kullanýyorumyorum;;;;;;;;;
güzel ürün.yorum;;;;;;;;;
Bu fiyata alýnacak fiyat performans oraný yüksek bir telefon.yorum;;;;;;;;;
Hýzlý teslimattan ve telefondan memnunuz ama kulaklýk çýkmadý içinden ??yorum;;;;;;;;;
"""fiyatýna göre performans gayet baþarýlý, son güncelleme ile birlikte bazý Küçük sorunlarda çózüldü, þeffaf kýlýf la birlikte geldi. paketlemede güzeldi, iki aydý";r kullan;ýyoru;m,;i phon;e;da;n;geçe;"n birisi olarak þu ana kadar i phonun eksikliðini hiç hissetmedim""yorum"
genpa servis garantili ve çok iyi bir cihaz þarj tüketimi dýþýndayorum;;;;;;;;;
Ürün süper.Kargolamasý ve kargo süresi müthiþtiyorum;;;;;;;;;
Harika telefon.yorum;;;;;;;;;
sorunsuz geldi begendimyorum;;;;;;;;;
cok memnun kaldim. ilk kez internetten teknolojik alet aldigim icin kafamda soru isaretleri vardi ama korktugum gibi olmadi.yorum;;;;;;;;;
çok beðenerek kullaniyorumyorum;;;;;;;;;
güzel harika bir telefonyorum;;;;;;;;;
sipariþ verdiðim gibi kargoya verildi. Güzel paketlenmiþ sorunsuz teslim edildi teþekkürler.yorum;;;;;;;;;
Çok memnun kaldým. Kamerasý çok iyiyorum;;;;;;;;;
ürün çok güzel yorum;;;;;;;;;
telefondan çok memnunumyorum;;;;;;;;;
Aldýðýmýzdan beri hoparlör kýsmýnda sorun yaþýyoruz evet çok düzenli geldi karþýlama çok güzeldi ama bir daha bu tarz sitelerden telefon alacaðýmý düþünmüyorumyor;um;;;;;;;;
fiyatý çok uygun olmasýna raðmen çok hoþ ve kaliteli bir telefonyorum;;;;;;;;;
Güzel bir alýþveriþ olduyorum;;;;;;;;;
Fiyata göre süperyorum;;;;;;;;;
"""iyi fiyat sorunsuz ulaþtý, güvenilir.""yorum";;;;;;;;;
Süper telefon !!! Çok hýzlý çalýþýyor çok güzel herkese tavsiye ederim .hem fiyatý uygun hem kalitesi güzel. iPhone 8 oluþtan  dan daha da iyi çalýþýyor :)) bu fi;yata böy;le te;lef;on ala;ca;ðý;mý;düþ;ünmemiþtimyorum
24 saat dolmadan telefon elime ulaþtý.paketleme saðlam yapýlmýþtý kutuda herhangi bir ezilme yoktu.Þuanlýk hiçbir sorunla karþýlaþmadým.Almak isteyenlere tavsiye;ederim.k;utu i;çer;isinde;s;il;ik;on k;ýlýf Sarj aleti ve dönüþtürücü mevcut kulaklýk yok.yorum
"""Xiaomi Mi6'dan çok memnun olduðum için Mi8 Lite'ý anneme aldým gayet memnun. Baþta Lite yani düþük versiyonu olduðu için þüphelerim vardý fakat çoðu özelliðinin";Mi6'dan;yükse;k o;lduðun;u;sö;yl;eyeb;"ilirim. Almak isteyene tek bir þey söyleyeyim büyük telefon sevmiyorsanýz bir daha düþünün fotoðraftakinden daha kalýplý ama kullanýmý hoþ, zor deðil.""yorum"
Ürün aldýðýmýn 2.gunu ulaþtý. Kabartmalý naylon paketin içinde geldi. Ýçinde telefon kýlýfý vardý. Bunun için satýcýsý olan cekekspres e teþekkür etmeden geçemeye;ceðim ??;Tel;efo;n Muht;eþ;em;S;amsu;ng falan halt etmiþ yaninda. Görüntüsü iPhone gibi. Kamerasý mükemmel cek tuþuna basýnca iPhone gibi hýzlý cekiyo. Bu fiyatta bu özellikte telefon bulmak nerdeyse imkansiz. Çok memnun kaldým. diðer telefonlardan ayýran tek özellik telefonun kulaklýðý olmamasý. Bluetooth kulaklikla çalýþýyor onun içinde bence daha iyi ?? Alican olanlara kesinlikle tavsiyem ??yorum
kargo çok hýzlý geldi telefonda gayet iyi. Genpa türkiye garantisi mevcut. tavsiye ederi;;;;;;;;;
yorum;;;;;;;;;
Fiyatýna göre mükemmel ürün tavsiye aderim tþk trentyolyorum;;;;;;;;;
saðlam teslim aldýk telefon güzel ??yorum;;;;;;;;;
Tavsiye ederimyorum;;;;;;;;;
güzel tavsiye ederim :)yorum;;;;;;;;;
15 gün oldu alalý  güzel telefon yani kullanýþlý .kargoda biraz gecikme oluyor oda kargo þirketinin bý türlü çüzemediði sorun.akliniza takýlan ne varsa sorabilirs;inizyoru;m;;;;;;;
ürün kaliteli.Sipariþimin 3.gününde elime geçti.Gayet kullanýþlýdýr.yorum;;;;;;;;;
Bu paraya bu ürün bir haftadýr kullanýyorum çok memnun kaldým hýzlý kullanýþlý zaten özellikleri belli araþtýrmadan kimse almýyor rengi de güzelyorum;;;;;;;;;
Gerek kargo süresi gerekse ürün gayet iyiyorum;;;;;;;;;
